Distance L-deH,Bulk Modulus L-deH,Distance LH,Bulk Modulus LH,Distance L-deM,Bulk Modulus L-deM,Distance LM,Bulk Modulus LM,Distance de-LMH,Bulk Modulus de-LMH,Distance LMH,Bulk Modulus LMH
736.86,619.42,837.48,1233.4,697.66,2439.8,533.35,7843.5,655,1305.8,785.88,1329.1
735.75,627.11,836.76,1251.7,697.37,2474.6,533.28,7948.6,654.6,1320.7,785.33,1346.6
734.64,634.89,836.05,1270.2,697.09,2509.5,533.22,8051.7,654.2,1335.8,784.78,1364.4
733.53,642.76,835.33,1288.9,696.8,2544.2,533.16,8152.8,653.79,1351.1,784.23,1382.3
732.42,650.73,834.62,1307.8,696.52,2578.9,533.09,8251.8,653.39,1366.6,783.68,1400.5
731.31,658.79,833.9,1327,696.23,2613.5,533.03,8348.5,652.98,1382.2,783.12,1418.8
730.2,666.95,833.19,1346.4,695.95,2648.1,532.97,8442.8,652.58,1398.1,782.57,1437.4
729.09,675.21,832.47,1366,695.66,2682.5,532.9,8534.8,652.17,1414.1,782.02,1456.1
727.98,683.57,831.76,1385.8,695.37,2716.8,532.84,8624.3,651.77,1430.3,781.47,1475.1
726.88,692.02,831.04,1405.8,695.08,2751,532.77,8711.2,651.37,1446.7,780.92,1494.2
725.77,700.57,830.33,1426.1,694.8,2785,532.71,8795.5,650.96,1463.3,780.37,1513.6
724.66,709.23,829.61,1446.6,694.51,2818.9,532.64,8877.2,650.56,1480.1,779.81,1533.2
723.55,717.99,828.89,1467.4,694.22,2852.6,532.58,8956.1,650.15,1497.1,779.26,1553
722.44,726.85,828.18,1488.3,693.93,2886.1,532.51,9032.4,649.75,1514.3,778.71,1573
721.33,735.82,827.46,1509.5,693.64,2919.4,532.45,9105.8,649.34,1531.7,778.16,1593.3
720.22,744.89,826.74,1531,693.34,2952.5,532.38,9176.5,648.94,1549.2,777.6,1613.7
719.11,754.07,826.02,1552.6,693.05,2985.4,532.31,9244.5,648.54,1567.1,777.05,1634.4
718,763.36,825.3,1574.5,692.76,3018.1,532.24,9309.6,648.13,1585.1,776.5,1655.3
716.89,772.76,824.58,1596.7,692.46,3050.6,532.18,9371.9,647.73,1603.3,775.94,1676.4
715.78,782.27,823.86,1619.1,692.16,3082.8,532.11,9431.5,647.32,1621.7,775.39,1697.7
714.67,791.89,823.14,1641.7,691.87,3114.7,532.04,9488.3,646.92,1640.4,774.83,1719.3
713.56,801.63,822.42,1664.6,691.57,3146.4,531.97,9542.3,646.52,1659.3,774.28,1741.1
712.45,811.48,821.7,1687.7,691.27,3177.9,531.9,9593.7,646.11,1678.4,773.72,1763.1
711.34,821.44,820.98,1711.1,690.97,3209,531.83,9642.3,645.71,1697.7,773.17,1785.3
710.23,831.53,820.25,1734.7,690.66,3239.9,531.76,9688.3,645.3,1717.3,772.61,1807.8
709.12,841.73,819.53,1758.6,690.36,3270.5,531.69,9731.7,644.9,1737,772.06,1830.6
708.01,852.05,818.8,1782.7,690.05,3300.8,531.61,9772.6,644.5,1757.1,771.5,1853.5
706.9,862.49,818.08,1807.1,689.74,3330.8,531.54,9810.9,644.09,1777.3,770.94,1876.7
