Distance L-deH,Bulk Modulus L-deH,Distance LH,Bulk Modulus LH,Distance L-deM,Bulk Modulus L-deM,Distance LM,Bulk Modulus LM,Distance de-LMH,Bulk Modulus de-LMH,Distance LMH,Bulk Modulus LMH
736.86,619.31,837.48,1233.2,697.66,2439.3,533.35,7841,655,1305.5,785.88,1328.9
735.75,627,836.76,1251.5,697.37,2474.2,533.28,7946,654.6,1320.4,785.33,1346.4
734.64,634.78,836.05,1270,697.09,2509,533.22,8049.2,654.2,1335.6,784.78,1364.2
733.53,642.65,835.33,1288.7,696.8,2543.7,533.16,8150.2,653.79,1350.8,784.23,1382.1
732.42,650.62,834.62,1307.7,696.52,2578.4,533.09,8249.1,653.39,1366.3,783.68,1400.3
731.31,658.68,833.9,1326.8,696.23,2613,533.03,8345.8,652.98,1381.9,783.12,1418.6
730.2,666.84,833.19,1346.2,695.95,2647.6,532.97,8440.1,652.58,1397.8,782.57,1437.1
729.09,675.1,832.47,1365.8,695.66,2682,532.9,8532.1,652.17,1413.8,782.02,1455.9
727.98,683.45,831.76,1385.6,695.37,2716.3,532.84,8621.5,651.77,1430,781.47,1474.9
726.88,691.9,831.04,1405.6,695.08,2750.4,532.77,8708.4,651.37,1446.4,780.92,1494
725.77,700.45,830.33,1425.9,694.8,2784.5,532.71,8792.7,650.96,1463,780.37,1513.4
724.66,709.11,829.61,1446.4,694.51,2818.3,532.64,8874.3,650.56,1479.8,779.81,1533
723.55,717.86,828.89,1467.2,694.22,2852,532.58,8953.3,650.15,1496.8,779.26,1552.8
722.44,726.72,828.18,1488.1,693.93,2885.5,532.51,9029.5,649.75,1513.9,778.71,1572.8
721.33,735.69,827.46,1509.3,693.64,2918.8,532.45,9102.9,649.34,1531.3,778.16,1593
720.22,744.76,826.74,1530.8,693.34,2952,532.38,9173.6,648.94,1548.9,777.6,1613.5
719.11,753.94,826.02,1552.4,693.05,2984.9,532.31,9241.5,648.54,1566.7,777.05,1634.1
718,763.23,825.3,1574.3,692.76,3017.5,532.24,9306.6,648.13,1584.7,776.5,1655
716.89,772.62,824.58,1596.5,692.46,3050,532.18,9368.9,647.73,1602.9,775.94,1676.1
715.78,782.13,823.86,1618.9,692.16,3082.2,532.11,9428.5,647.32,1621.4,775.39,1697.5
714.67,791.75,823.14,1641.5,691.87,3114.1,532.04,9485.2,646.92,1640,774.83,1719
713.56,801.48,822.42,1664.4,691.57,3145.8,531.97,9539.3,646.52,1658.9,774.28,1740.8
712.45,811.33,821.7,1687.5,691.27,3177.2,531.9,9590.6,646.11,1678,773.72,1762.8
711.34,821.3,820.98,1710.9,690.97,3208.4,531.83,9639.2,645.71,1697.3,773.17,1785.1
710.23,831.38,820.25,1734.5,690.66,3239.3,531.76,9685.2,645.3,1716.9,772.61,1807.6
709.12,841.58,819.53,1758.4,690.36,3269.9,531.69,9728.6,644.9,1736.7,772.06,1830.3
708.01,851.9,818.8,1782.5,690.05,3300.2,531.61,9769.4,644.5,1756.7,771.5,1853.2
706.9,862.34,818.08,1806.8,689.74,3330.2,531.54,9807.8,644.09,1776.9,770.94,1876.4
705.79,872.9,817.35,1831.5,689.43,3359.9,531.47,9843.6,643.69,1797.4,770.39,1899.9
704.68,883.59,816.62,1856.4,689.12,3389.3,531.39,9877.1,643.28,1818.2,769.83,1923.5
703.56,894.4,815.9,1881.5,688.81,3418.5,531.31,9908.3,642.88,1839.2,769.27,1947.5
702.45,905.34,815.17,1906.9,688.49,3447.3,531.24,9937.2,642.48,1860.4,768.71,1971.6
701.34,916.41,814.44,1932.6,688.18,3475.8,531.16,9963.9,642.07,1881.9,768.16,1996.1
700.23,927.6,813.7,1958.5,687.86,3504,531.08,9988.5,641.67,1903.6,767.6,2020.7
699.12,938.93,812.97,1984.7,687.54,3531.9,531,10011,641.27,1925.6,767.04,2045.6
698.01,950.39,812.24,2011.1,687.21,3559.4,530.92,10032,640.86,1947.9,766.48,2070.8
696.9,961.98,811.5,2037.9,686.89,3586.7,530.84,10050,640.46,1970.4,765.92,2096.2
695.78,973.71,810.77,2064.8,686.56,3613.7,530.76,10067,640.06,1993.2,765.35,2121.9
694.67,985.58,810.03,2092.1,686.23,3640.3,530.68,10082,639.65,2016.3,764.79,2147.9
693.56,997.58,809.29,2119.6,685.9,3666.7,530.59,10095,639.25,2039.6,764.23,2174.1
692.45,1009.7,808.55,2147.4,685.57,3692.7,530.51,10107,638.85,2063.2,763.67,2200.6
691.33,1022,807.81,2175.5,685.23,3718.5,530.42,10117,638.44,2087.1,763.1,2227.3
690.22,1034.4,807.07,2203.9,684.89,3743.9,530.33,10126,638.04,2111.3,762.54,2254.3
689.11,1047,806.33,2232.5,684.55,3769.1,530.25,10133,637.64,2135.8,761.97,2281.6
688,1059.7,805.58,2261.4,684.2,3793.9,530.16,10139,637.24,2160.5,761.41,2309.1
686.88,1072.6,804.84,2290.6,683.86,3818.5,530.07,10144,636.83,2185.6,760.84,2337
685.77,1085.6,804.09,2320.1,683.51,3842.8,529.97,10147,636.43,2210.9,760.28,2365
684.66,1098.8,803.34,2349.9,683.15,3866.8,529.88,10149,636.03,2236.6,759.71,2393.4
683.54,1112.1,802.59,2379.9,682.8,3890.5,529.79,10151,635.63,2262.6,759.14,2422.1
682.43,1125.6,801.84,2410.3,682.44,3914,529.69,10151,635.22,2288.8,758.57,2451
681.31,1139.2,801.08,2440.9,682.08,3937.2,529.59,10150,634.82,2315.4,758,2480.2
680.2,1153,800.33,2471.9,681.71,3960.1,529.49,10149,634.42,2342.3,757.43,2509.7
679.08,1166.9,799.57,2503.1,681.34,3982.8,529.39,10147,634.02,2369.6,756.86,2539.5
677.97,1181,798.81,2534.6,680.97,4005.2,529.29,10143,633.61,2397.1,756.29,2569.6
676.85,1195.3,798.05,2566.4,680.6,4027.4,529.19,10140,633.21,2425,755.72,2600
675.74,1209.7,797.29,2598.5,680.22,4049.3,529.09,10135,632.81,2453.2,755.14,2630.7
674.62,1224.3,796.53,2630.9,679.84,4071,528.98,10130,632.41,2481.7,754.57,2661.6
673.51,1239.1,795.76,2663.6,679.45,4092.5,528.87,10125,632.01,2510.6,754,2692.9
672.39,1254,795,2696.7,679.06,4113.8,528.76,10119,631.6,2539.9,753.42,2724.5
671.28,1269.1,794.23,2730,678.67,4134.8,528.65,10112,631.2,2569.5,752.84,2756.3
670.16,1284.4,793.46,2763.6,678.28,4155.7,528.54,10105,630.8,2599.4,752.27,2788.5
669.04,1299.9,792.68,2797.6,677.88,4176.3,528.43,10098,630.4,2629.7,751.69,2821
667.93,1315.5,791.91,2831.8,677.48,4196.8,528.31,10091,630,2660.4,751.11,2853.8
666.81,1331.3,791.13,2866.4,677.07,4217,528.2,10083,629.6,2691.4,750.53,2886.9
665.69,1347.3,790.36,2901.3,676.66,4237.1,528.08,10075,629.2,2722.8,749.95,2920.3
664.57,1363.5,789.57,2936.5,676.24,4257,527.96,10067,628.8,2754.6,749.37,2954
663.45,1379.9,788.79,2972,675.83,4276.7,527.84,10059,628.39,2786.8,748.78,2988.1
662.34,1396.4,788.01,3007.8,675.4,4296.3,527.71,10050,627.99,2819.3,748.2,3022.5
661.22,1413.1,787.22,3044,674.98,4315.8,527.59,10042,627.59,2852.3,747.62,3057.2
660.1,1430.1,786.43,3080.5,674.55,4335,527.46,10033,627.19,2885.6,747.03,3092.2
658.98,1447.2,785.64,3117.3,674.11,4354.2,527.33,10025,626.79,2919.3,746.44,3127.5
657.86,1464.5,784.85,3154.4,673.67,4373.2,527.2,10016,626.39,2953.5,745.86,3163.2
656.74,1482,784.05,3191.9,673.23,4392.1,527.07,10008,625.99,2988,745.27,3199.2
655.62,1499.7,783.26,3229.7,672.78,4410.8,526.93,9999.2,625.59,3023,744.68,3235.6
654.5,1517.6,782.46,3267.9,672.33,4429.5,526.79,9990.8,625.19,3058.4,744.09,3272.3
653.38,1535.8,781.66,3306.3,671.87,4448,526.65,9982.6,624.79,3094.2,743.5,3309.3
652.26,1554.1,780.85,3345.2,671.41,4466.4,526.51,9974.5,624.39,3130.4,742.9,3346.7
651.14,1572.6,780.05,3384.3,670.94,4484.8,526.37,9966.5,623.99,3167.1,742.31,3384.4
650.02,1591.4,779.24,3423.8,670.47,4503,526.23,9958.7,623.59,3204.3,741.71,3422.5
648.9,1610.3,778.42,3463.7,670,4521.2,526.08,9951.2,623.19,3241.8,741.12,3460.9
647.77,1629.5,777.61,3503.9,669.52,4539.3,525.93,9943.8,622.79,3279.9,740.52,3499.7
646.65,1648.9,776.79,3544.4,669.03,4557.3,525.78,9936.6,622.39,3318.3,739.92,3538.8
645.53,1668.5,775.98,3585.3,668.54,4575.3,525.62,9929.7,622,3357.3,739.32,3578.3
644.41,1688.3,775.15,3626.6,668.05,4593.2,525.47,9923.1,621.6,3396.7,738.72,3618.1
643.28,1708.3,774.33,3668.2,667.55,4611,525.31,9916.7,621.2,3436.6,738.12,3658.3
642.16,1728.6,773.5,3710.2,667.04,4628.8,525.15,9910.7,620.8,3477,737.52,3698.9
641.03,1749.1,772.67,3752.5,666.53,4646.6,524.99,9904.9,620.4,3517.9,736.91,3739.8
639.91,1769.8,771.84,3795.2,666.02,4664.3,524.82,9899.4,620,3559.2,736.31,3781.1
638.78,1790.8,771.01,3838.3,665.49,4682,524.66,9894.3,619.6,3601.1,735.7,3822.8
637.66,1812,770.17,3881.7,664.97,4699.7,524.49,9889.5,619.21,3643.5,735.09,3864.9
636.53,1833.4,769.33,3925.5,664.44,4717.3,524.31,9885.1,618.81,3686.3,734.48,3907.3
635.41,1855.1,768.49,3969.7,663.9,4735,524.14,9881,618.41,3729.7,733.87,3950.1
634.28,1877,767.64,4014.3,663.36,4752.6,523.96,9877.2,618.01,3773.7,733.26,3993.3
633.16,1899.2,766.79,4059.2,662.81,4770.2,523.78,9873.9,617.62,3818.1,732.65,4036.9
632.03,1921.6,765.94,4104.5,662.25,4787.8,523.6,9870.9,617.22,3863.1,732.03,4080.9
630.9,1944.3,765.09,4150.2,661.69,4805.5,523.42,9868.3,616.82,3908.7,731.42,4125.3
629.77,1967.2,764.23,4196.3,661.13,4823.1,523.23,9866.1,616.42,3954.8,730.8,4170.1
628.64,1990.4,763.37,4242.8,660.56,4840.7,523.04,9864.3,616.03,4001.4,730.18,4215.2
627.52,2013.8,762.51,4289.6,659.98,4858.4,522.85,9862.9,615.63,4048.7,729.56,4260.8
626.39,2037.5,761.64,4336.9,659.4,4876.1,522.65,9862,615.23,4096.5,728.94,4306.8
625.26,2061.5,760.77,4384.5,658.81,4893.8,522.46,9861.4,614.84,4144.8,728.31,4353.2
624.13,2085.7,759.9,4432.6,658.21,4911.6,522.26,9861.3,614.44,4193.8,727.69,4400
623,2110.2,759.02,4481,657.61,4929.4,522.05,9861.6,614.05,4243.4,727.06,4447.2
621.87,2134.9,758.14,4529.9,657,4947.2,521.85,9862.3,613.65,4293.5,726.44,4494.8
620.74,2160,757.26,4579.1,656.39,4965.1,521.64,9863.4,613.25,4344.3,725.81,4542.9
619.61,2185.3,756.37,4628.8,655.77,4983,521.43,9865,612.86,4395.7,725.18,4591.3
618.47,2210.9,755.49,4678.9,655.14,5001,521.22,9867,612.46,4447.7,724.55,4640.2
617.34,2236.8,754.59,4729.4,654.51,5019,521,9869.5,612.07,4500.4,723.91,4689.6
616.21,2262.9,753.7,4780.3,653.87,5037.1,520.78,9872.4,611.67,4553.7,723.28,4739.3
615.08,2289.4,752.8,4831.7,653.22,5055.2,520.56,9875.8,611.28,4607.6,722.64,4789.5
613.94,2316.2,751.9,4883.4,652.57,5073.4,520.33,9879.6,610.88,4662.2,722,4840.1
612.81,2343.2,750.99,4935.6,651.91,5091.7,520.11,9883.8,610.49,4717.5,721.36,4891.2
611.67,2370.5,750.08,4988.2,651.24,5110,519.87,9888.6,610.09,4773.4,720.72,4942.7
610.54,2398.2,749.17,5041.3,650.57,5128.5,519.64,9893.7,609.7,4830,720.08,4994.7
609.4,2426.1,748.26,5094.8,649.89,5147,519.4,9899.4,609.31,4887.4,719.44,5047.1
608.27,2454.4,747.34,5148.7,649.2,5165.5,519.16,9905.4,608.91,4945.4,718.79,5100
607.13,2482.9,746.41,5203.1,648.51,5184.2,518.92,9912,608.52,5004.1,718.14,5153.3
605.99,2511.8,745.49,5257.9,647.81,5202.9,518.67,9919,608.12,5063.6,717.49,5207.1
604.86,2541,744.56,5313.2,647.1,5221.8,518.42,9926.5,607.73,5123.7,716.84,5261.3
603.72,2570.5,743.62,5368.9,646.38,5240.7,518.17,9934.4,607.34,5184.6,716.19,5316
602.58,2600.3,742.69,5425,645.66,5259.7,517.91,9942.8,606.95,5246.3,715.53,5371.2
601.44,2630.5,741.74,5481.7,644.93,5278.8,517.66,9951.6,606.55,5308.7,714.88,5426.9
600.3,2661,740.8,5538.8,644.19,5298,517.39,9961,606.16,5371.9,714.22,5483
599.16,2691.8,739.85,5596.3,643.45,5317.3,517.13,9970.7,605.77,5435.8,713.56,5539.7
598.02,2723,738.9,5654.3,642.7,5336.8,516.86,9981,605.38,5500.6,712.9,5596.8
596.88,2754.5,737.94,5712.8,641.94,5356.3,516.59,9991.7,604.98,5566.1,712.24,5654.4
595.74,2786.3,736.98,5771.8,641.17,5375.9,516.31,10003,604.59,5632.4,711.57,5712.5
