TableComposition,TableSalt,EffAlpha,A_Norm,A_simple
L-deH,150,0.202400408882215,0.19,572363.235173974
L-deM,150,0.202942576728601,0.23,535635.551994975
L11M,150,0.252454370831861,0.2,571051.439951982
L11,150,0.282776903430758,0.11,726715.623013911
L5M,150,0.253823973451154,1.46,551102.383633953
L5,150,0.284733478601177,0.17,698216.971131013
LH,150,0.237269259201933,0.1,572363.235173974
LH,240,0.237269259201933,0.11,572363.235173974
LH,40,0.237269259201933,0.22,572363.235173974
LH,90,0.237269259201933,0.13,572363.235173974
LMH,150,0.229594393178889,0.2,513292.198589388
LM,150,0.238651585249509,0.92,535635.551994975
LM,240,0.238651585249509,1,535635.551994975
LM,40,0.238651585249509,0.57,535635.551994975
LM,70,0.238651585249509,1.69,535635.551994975
L,150,0.263058638313112,0.55,676121.497361044
L,240,0.263058638313112,0.47,676121.497361044
L,40,0.263058638313112,1.73,676121.497361044
L,500,0.263058638313112,0.13,676121.497361044
L,80,0.263058638313112,0.6,676121.497361044
de-LMH,150,0.186761933585543,0.33,513292.198589388
