TableComposition,TableSalt,EffAlpha,A_Norm,A_simple
L-deH,150,0.202400408882215,0.04,2082779.37472423
L-deM,150,0.202942576728601,0.05,1934154.72235356
L11M,150,0.252454370831861,0.06,2042208.00713858
L11,150,0.282776903430758,0.03,2906862.49205565
L5M,150,0.253823973451154,0.47,1981465.86880564
L5,150,0.284733478601177,0.05,2792867.88452405
LH,150,0.237269259201933,0.03,2082779.37472423
LH,240,0.237269259201933,0.02,2082779.37472423
LH,40,0.237269259201933,0.09,2082779.37472423
LH,90,0.237269259201933,0.05,2082779.37472423
LMH,150,0.229594393178889,0.06,1805295.7134819
LM,150,0.238651585249509,0.28,1934154.72235356
LM,240,0.238651585249509,0.25,1934154.72235356
LM,40,0.238651585249509,0.23,1934154.72235356
LM,70,0.238651585249509,0.63,1934154.72235356
L,150,0.263058638313112,0.16,2704485.98944418
L,240,0.263058638313112,0.11,2704485.98944418
L,40,0.263058638313112,0.61,2704485.98944418
L,500,0.263058638313112,0.01,2704485.98944418
L,80,0.263058638313112,0.19,2704485.98944418
de-LMH,150,0.186761933585543,0.07,1805295.7134819
